플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,비레디,비레디 블루 수분 선크림 50ml 1+1 기획,87,선케어,선크림,선크림,4.9,345,25000,23700.0
올리브영,조선미녀, 조선미녀 맑은쌀 선크림 50ml,88,선케어,선크림,선크림,4.8,898,18000,15100.0
올리브영,로벡틴, 로벡틴 아쿠아 수딩 선크림 35ml 1+1 기획세트,89,선케어,선크림,선크림,4.7,825,42000,23100.0
올리브영,닥터지, 닥터지 포어 블러 업 선 50ml+20ml 기획,90,선케어,선크림,선크림,4.7,729,32000,22400.0
올리브영,닥터자르트,닥터자르트 에브리선데이 모이스처라이징 선 30ml 1+1 기획세트,91,선케어,선크림,선크림,4.7,2513,22000,
올리브영,헤라, 헤라 UV프로텍터 톤업 50ml,92,선케어,선크림,선크림,4.8,830,45000,
올리브영,아떼, 아떼 속광 톤업 선쿠션 SPF50+/PA++++,93,선케어,선쿠션,선쿠션,4.7,1225,30000,21000.0
올리브영,달바, 달바 워터풀 톤업 선 쿠션 듀오 기획(15g+15g),94,선케어,선쿠션,선쿠션,4.6,756,52500,42000.0
올리브영,넘버즈인, 넘버즈인 3번 도자기결 고이빚은 세라믹쿠션 SPF50+ PA++++,95,선케어,선쿠션,선쿠션,4.4,431,28000,19600.0
올리브영,스킨1004,스킨1004 마다가스카르 센텔라 톤 브라이트닝 톤업 선스크린 50ml,96,선케어,선크림,선크림,4.8,285,19000,
올리브영,라운드랩, 라운드랩 동백 딥 콜라겐 탄력 선세럼 50ml (+7ml),97,선케어,선크림,선크림,0.0,0,28000,18900.0
올리브영,빌리프,빌리프 UV프로텍터 톤업 선스크린 50ml 라인프렌즈 에코에디션 (+DIY스티커),98,선케어,선크림,선크림,4.8,96,39000,
올리브영,라운드랩, 라운드랩 자작나무 수분 선쿠션 15g,99,선케어,선쿠션,선쿠션,4.6,2165,24000,17800.0
올리브영,라로슈포제,,100,선케어,선크림,선크림,4.8,1534,37000,
