랭킹,브랜드,상품명,정가,할인가
79,닥터지,[탄력/보습크림] 닥터지 블랙 스네일 크림 50ml 1+1 기획 (+15ml)(영양크림),"33,000","27,300"
80,바이오던스,[단독기획] 바이오던스 겔 토너 패드 60매 기획(+4매 증정) (콜라겐/세라놀),"26,000","12,800"
81,바이오힐보,[NEW/대용량] 바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 겔 마스크 7+3매 증정 기획세트,"42,000","24,800"
82,바이오가,[대용량] 바이오가 등드름 바디워시 베타인살리실레이트 1000ml,"25,500","18,000"
83,웨이크메이크,[오징어게임] 웨이크메이크 소프트 블러링 아이팔레트 (기획/단품),"34,000","18,000"
84,아렌시아,[2월 올영픽] 아렌시아 프레시 떡솝 클렌저 120g 기획 3종 택1 (그린/로즈힙/블루히솝),"23,000","23,900"
85,아벤느,아벤느 오 떼르말 미스트 300ml 2입 기획,"34,000","30,510"
86,넘버즈인,[총140매] 넘버즈인 토너패드 리필기획 3종 중 택 1 (1번/4번/5번),"42,000","17,900"
87,에뛰드,[2월 올영픽/포카 증정] [NEW 단독기획] 에뛰드 컬 픽스 마스카라_4 Colors,"16,000",
88,브링그린,[1등세럼] 브링그린 징크테카 트러블 세럼 한정기획,"39,600",
89,넘버즈인,[10매] 넘버즈인 1번~5번 마스크팩 10매 기획 5종 중 택 1,"40,000",
90,토니모리,[NEW/선런칭] 토니모리 치크톤 립앤치크 듀오밤 12종,"20,000",
91,딜라이트 프로젝트,[NEW/온라인단독] 딜라이트 프로젝트 단백질쉐이크 540g 4종 택1,"33,900",
92,온그리디언츠,[1등로션]온그리디언츠 스킨 베리어 카밍 로션 기획(220ml+80ml),"39,900",
93,투크,[2024 어워즈/NEW 컬러 출시] 투크 워터프루프 슬림 아이라이너 16colors,"13,900",
94,메디힐,[51관왕 No.1] 메디힐 네모패드 100매 피부 고민별 골라담기,"26,000",
95,,,,
96,,,,
오특,,,,
,,,,
98,,,,
99,,,,
100,,,,
